AECGRegion,AgeID,ASGSRemoteness,Year,Quarter,Month,Day,DistanceEducation,District,Electorate,EnglishCentre,Fax,FederalElectorate,Year,Quarter,Month,Day,ICSEA_Value,indigenous_pct,LateOpeningSchool,Average of Latitude,lbote_pct,lga,LocalHealthDistrict,OperationalDirectorate,Average of Longitude,OpportunityClass,Phone,Average of PostCode,preschool,PrincipalNetwork,SchoolCode,SchoolEmail,SchoolGender,SchoolLevel,SchoolName,SchoolSpecialtyType,SchoolSubtype,SelectiveSchool,Street,StudentNumber,Suburb,SupportClasses
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4572 1833,Macquarie,1977,Qtr 1,January,1,1018,6,No,-33.594468,8,Hawkesbury (C),Nepean Blue Mountains,Macquarie Park,150.66485,No,4572 1386,2753.00,No,Hawkesbury,1,groseview-p.school@det.nsw.edu.au,Co-Ed,Primary School,Grose View Public School,Comprehensive,Kinder to Year 6,Not Selective,Grose Wold Rd,234,Grose Vale,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4572 3822,Macquarie,1900,Qtr 1,January,4,989,3,No,-33.620452,10,Hawkesbury (C),Nepean Blue Mountains,Macquarie Park,150.87054,No,4572 3142,2765.00,No,Hawkesbury,1,oakville-p.school@det.nsw.edu.au,Co-Ed,Primary School,Oakville Public School,Comprehensive,Kinder to Year 6,Not Selective,46 Ogden Rd,442,Oakville,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4572 8760,Macquarie,1886,Qtr 1,February,1,996,np,No,-33.558762,np,Hawkesbury (C),Nepean Blue Mountains,Macquarie Park,150.906904,No,4572 8445,2756.00,No,Hawkesbury,1,cattai-p.school@det.nsw.edu.au,Co-Ed,Primary School,Cattai Public School,Comprehensive,Kinder to Year 6,Not Selective,487 Cattai Rd,58,Cattai,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4573 2044,Macquarie,1929,Qtr 1,January,9,1057,np,No,-33.555196,8,Hawkesbury (C),Nepean Blue Mountains,Macquarie Park,150.662653,No,4573 1647,2758.00,No,Hawkesbury,1,kurrajong-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kurrajong Public School,Comprehensive,Kinder to Year 6,Not Selective,1111 Grose Vale Rd,229,Kurrajong,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4573 2122,Macquarie,1920,Qtr 1,January,7,1020,3,No,-33.549715,11,Hawkesbury (C),Nepean Blue Mountains,Macquarie Park,150.692309,No,4573 1648,2757.00,No,Hawkesbury,1,kurmond-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kurmond Public School,Comprehensive,Kinder to Year 6,Not Selective,494 Bells Line of Road,188,Kurmond,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4573 6534,Macquarie,1978,Qtr 1,January,4,,,No,-33.576219,,Hawkesbury (C),Nepean Blue Mountains,Macquarie Park,150.892806,No,4573 6323,2765.00,No,Hawkesbury,1,longneck-e.school@det.nsw.edu.au,Co-Ed,Environmental Education Centre,Longneck Lagoon Environmental Education Centre,Comprehensive,Environmental Education Centre (formerly Field Studies Centres),Not Selective,Whitmore Rd,,Maraylya,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4573 6599,Macquarie,1868,Qtr 4,November,1,1041,np,No,-33.592681,np,Hawkesbury (C),Nepean Blue Mountains,Macquarie Park,150.916264,No,4573 6243,2765.00,No,Hawkesbury,1,maraylya-p.school@det.nsw.edu.au,Co-Ed,Primary School,Maraylya Public School,Comprehensive,Kinder to Year 6,Not Selective,Neich Rd,111,Maraylya,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4576 1620,Macquarie,1880,Qtr 3,July,1,1010,np,No,-33.506475,7,Hawkesbury (C),Nepean Blue Mountains,Macquarie Park,150.69763,No,4576 1600,2758.00,No,Hawkesbury,1,comleroyrd-p.school@det.nsw.edu.au,Co-Ed,Primary School,Comleroy Road Public School,Comprehensive,Kinder to Year 6,Not Selective,McMahons Rd,136,Kurrajong,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4576 3579,Macquarie,1878,Qtr 1,March,1,966,11,No,-33.511172,np,Hawkesbury (C),Nepean Blue Mountains,Macquarie Park,150.77726,No,4576 3321,2758.00,No,Hawkesbury,1,kurrajonge-p.school@det.nsw.edu.au,Co-Ed,Primary School,Kurrajong East Public School,Comprehensive,Kinder to Year 6,Not Selective,891 East Kurrajong Road,65,East Kurrajong,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4576 6079,Macquarie,1898,Qtr 2,April,1,967,9,No,-33.530504,3,Hawkesbury (C),Nepean Blue Mountains,Macquarie Park,150.765471,No,4576 6099,2756.00,No,Hawkesbury,1,glossodia-p.school@det.nsw.edu.au,Co-Ed,Primary School,Glossodia Public School,Comprehensive,Kinder to Year 6,Not Selective,Golden Valley Drive,238,Glossodia,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4579 1072,Berowra,1980,Qtr 1,January,1,,,No,-33.48167,,The Hills Shire (A),Western Sydney,Macquarie Park,150.891511,No,4579 1136,2756.00,No,Hawkesbury,1,brewongle-e.school@det.nsw.edu.au,Co-Ed,Environmental Education Centre,Brewongle Environmental Education Centre,Comprehensive,Environmental Education Centre (formerly Field Studies Centres),Not Selective,587 Chapel Hill Road,,Sackville North,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Hawkesbury,No,4579 9586,Macquarie,1874,Qtr 2,June,1,980,5,No,-33.530917,9,Hawkesbury (C),Nepean Blue Mountains,Macquarie Park,150.876774,No,4579 9282,2756.00,No,Hawkesbury,1,ebenezer-p.school@det.nsw.edu.au,Co-Ed,Primary School,Ebenezer Public School,Comprehensive,Kinder to Year 6,Not Selective,531 Sackville Rd,116,Ebenezer,
Metropolitan West,1,Inner Regional Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Mulgoa,No,4773 9033,Lindsay,1872,Qtr 1,February,1,999,np,No,-33.836505,19,Penrith (C),Nepean Blue Mountains,Ultimo,150.650344,No,4773 8229,2750.00,No,Macarthur,1,mulgoa-p.school@det.nsw.edu.au,Co-Ed,Primary School,Mulgoa Public School,Comprehensive,Kinder to Year 6,Not Selective,Mulgoa Rd,81,Mulgoa,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Baulkham Hills,No,9639 4487,Mitchell,1967,Qtr 1,January,1,1108,1,No,-33.761316,54,The Hills Shire (A),Western Sydney,Macquarie Park,150.982269,No,9639 6801,2153.00,No,The Hills,1,jasperroad-p.school@det.nsw.edu.au,Co-Ed,Primary School,Jasper Road Public School,Comprehensive,Kinder to Year 6,Not Selective,Jasper Rd,780,Baulkham Hills,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Baulkham Hills,No,9639 4999,Mitchell,1971,Qtr 1,January,1,1200,np,No,-33.750227,94,The Hills Shire (A),Western Sydney,Macquarie Park,150.991499,No,9639 8699,2153.00,No,The Hills,1,baulkham-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Baulkham Hills High School,Comprehensive,Year 7 to Year 12,Fully Selective,Windsor Rd,1206,Baulkham Hills,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Baulkham Hills,No,9686 3462,Mitchell,1981,Qtr 1,January,1,1053,1,No,-33.743607,35,The Hills Shire (A),Western Sydney,Macquarie Park,150.975672,No,9639 7422,2153.00,No,The Hills,1,crestwood-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Crestwood High School,Comprehensive,Year 7 to Year 12,Not Selective,17 Chapel Lane,979.1,Baulkham Hills,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Baulkham Hills,No,9838 8407,Mitchell,1975,Qtr 1,January,1,1055,1,No,-33.76943,34,The Hills Shire (A),Western Sydney,Macquarie Park,150.971394,No,9624 3133,2153.00,No,The Hills,1,modelfarms-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Model Farms High School,Comprehensive,Year 7 to Year 12,Not Selective,Gooden Drive,1052.8,Baulkham Hills,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Baulkham Hills,No,9838 8423,Mitchell,1972,Qtr 1,January,1,1115,1,No,-33.749141,47,The Hills Shire (A),Western Sydney,Macquarie Park,150.972197,No,9624 3950,2153.00,No,The Hills,1,crestwood-p.school@det.nsw.edu.au,Co-Ed,Primary School,Crestwood Public School,Comprehensive,Kinder to Year 6,Not Selective,38 Peel Rd,738,Baulkham Hills,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Baulkham Hills,No,9838 8520,Mitchell,1982,Qtr 1,January,2,1169,np,No,-33.758183,79,The Hills Shire (A),Western Sydney,Macquarie Park,150.963554,Yes,9624 3311,2153.00,No,The Hills,1,mattpearce-p.school@det.nsw.edu.au,Co-Ed,Primary School,Matthew Pearce Public School,Comprehensive,Kinder to Year 6,Not Selective,Astoria Park Rd,1344,Baulkham Hills,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Baulkham Hills,No,9899 1799,Mitchell,1971,Qtr 1,January,1,1110,np,No,-33.740444,51,The Hills Shire (A),Western Sydney,Macquarie Park,150.990408,No,9634 3774,2154.00,No,The Hills,1,excelsior-p.school@det.nsw.edu.au,Co-Ed,Primary School,Excelsior Public School,Comprehensive,Kinder to Year 6,Not Selective,Rondelay Drive,498,Castle Hill,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9621 7918,Chifley,1957,Qtr 1,January,7,957,4,No,-33.770441,58,Blacktown (C),Western Sydney,Macquarie Park,150.893057,No,9622 2285,2148.00,No,Nirimba,1,blacktownw-p.school@det.nsw.edu.au,Co-Ed,Primary School,Blacktown West Public School,Comprehensive,Kinder to Year 6,Not Selective,Lancaster St,430,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 1520,Chifley,1977,Qtr 1,January,1,896,17,No,-33.75479,50,Blacktown (C),Western Sydney,Macquarie Park,150.868825,No,9621 7988,2767.00,No,Eastern Creek,1,crawford-p.school@det.nsw.edu.au,Co-Ed,Primary School,Crawford Public School,Comprehensive,Kinder to Year 6,Not Selective,Power St,479,Doonside,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 2282,Greenway,1959,Qtr 1,January,1,1017,np,No,-33.762057,83,Blacktown (C),Western Sydney,Macquarie Park,150.912543,No,9622 1558,2148.00,No,Nirimba,1,blacktownb-h.school@det.nsw.edu.au,Boys,Secondary School,Blacktown Boys High School,Comprehensive,Year 7 to Year 12,Partially Selective,Sunnyholt Rd & Fifth Ave,472.2,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 2379,Greenway,1959,Qtr 1,January,5,1041,3,No,-33.780193,80,Blacktown (C),Western Sydney,Macquarie Park,150.905175,Yes,9622 2449,2148.00,No,Nirimba,1,blacktowns-p.school@det.nsw.edu.au,Co-Ed,Primary School,Blacktown South Public School,Comprehensive,Kinder to Year 6,Not Selective,183 Flushcombe Rd,960,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 2805,Greenway,1964,Qtr 1,January,5,960,3,No,-33.784795,50,Blacktown (C),Western Sydney,Macquarie Park,150.915971,No,9622 8926,2148.00,No,Nirimba,1,mitchell-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Mitchell High School,Comprehensive,Year 7 to Year 12,Not Selective,Keyworth Drive,980.4,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 3519,Greenway,1957,Qtr 1,January,1,970,3,No,-33.75879,86,Blacktown (C),Western Sydney,Macquarie Park,150.913134,No,9622 2968,2148.00,No,Nirimba,1,blacktownn-p.school@det.nsw.edu.au,Co-Ed,Primary School,Blacktown North Public School,Comprehensive,Kinder to Year 6,Not Selective,1 Bessemer St,196,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 3562,Chifley,1962,Qtr 1,January,1,993,4,No,-33.760128,57,Blacktown (C),Western Sydney,Macquarie Park,150.885236,No,9622 4216,2148.00,No,Eastern Creek,1,marayongs-p.school@det.nsw.edu.au,Co-Ed,Primary School,Marayong South Public School,Comprehensive,Kinder to Year 6,Not Selective,McClean St,345,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 3571,Chifley,1961,Qtr 1,January,1,976,9,No,-33.742667,28,Blacktown (C),Western Sydney,Macquarie Park,150.896425,No,9622 4776,2148.00,No,Nirimba,1,marayonght-p.school@det.nsw.edu.au,Co-Ed,Primary School,Marayong Heights Public School,Comprehensive,Kinder to Year 6,Not Selective,Guerie St,325,Marayong,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 3795,Chifley,1959,Qtr 1,January,1,951,6,No,-33.756609,58,Blacktown (C),Western Sydney,Macquarie Park,150.895304,No,9622 2394,2148.00,Yes,Nirimba,1,marayong-p.school@det.nsw.edu.au,Co-Ed,Primary School,Marayong Public School,Comprehensive,Kinder to Year 6,Not Selective,Davis Rd,488,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 5951,Chifley,1964,Qtr 1,January,1,908,14,No,-33.754708,44,Blacktown (C),Western Sydney,Macquarie Park,150.874186,No,9622 2463,2767.00,No,Eastern Creek,1,doonside-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Doonside High School,Technology,Year 7 to Year 12,Not Selective,Power St,688.4,Doonside,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 6178,Greenway,1970,Qtr 1,January,1,,39,No,-33.77315,np,Blacktown (C),Western Sydney,Macquarie Park,150.911039,No,9622 1095,2148.00,No,Nirimba,1,coreen-s.school@det.nsw.edu.au,Co-Ed,Schools for Specific Purposes,Coreen School,Comprehensive,Medium / High Support needs,Not Selective,Hereward Hwy,57,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 6249,Chifley,1963,Qtr 1,January,1,993,5,No,-33.784758,57,Blacktown (C),Western Sydney,Macquarie Park,150.892148,No,9672 2333,2148.00,No,Eastern Creek,1,waltersrd-p.school@det.nsw.edu.au,Co-Ed,Primary School,Walters Road Public School,Comprehensive,Kinder to Year 6,Not Selective,158 Walters Rd,568,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 6437,Greenway,1958,Qtr 1,January,1,983,4,No,-33.765987,69,Blacktown (C),Western Sydney,Macquarie Park,150.921605,No,9622 2136,2147.00,Yes,Nirimba,1,sevenhillw-p.school@det.nsw.edu.au,Co-Ed,Primary School,Seven Hills West Public School,Comprehensive,Kinder to Year 6,Not Selective,Lucas Rd & Sackville St,380,Seven Hills,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 6726,Greenway,1967,Qtr 1,January,1,993,3,No,-33.789161,51,Blacktown (C),Western Sydney,Macquarie Park,150.917863,No,9622 8359,2148.00,No,Nirimba,1,shelley-p.school@det.nsw.edu.au,Co-Ed,Primary School,Shelley Public School,Comprehensive,Kinder to Year 6,Not Selective,Hadrian Ave,558,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 6727,Greenway,1960,Qtr 1,January,1,979,3,No,-33.754408,37,Blacktown (C),Western Sydney,Macquarie Park,150.926373,No,9622 2659,2148.00,No,Nirimba,1,lynwoodpk-p.school@det.nsw.edu.au,Co-Ed,Primary School,Lynwood Park Public School,Comprehensive,Kinder to Year 6,Not Selective,87 Turner Street,290,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 7838,Greenway,1959,Qtr 1,January,1,1000,2,No,-33.761976,80,Blacktown (C),Western Sydney,Macquarie Park,150.910792,No,9831 7577,2148.00,No,Nirimba,1,blacktowng-h.school@det.nsw.edu.au,Girls,Secondary School,Blacktown Girls High School,Comprehensive,Year 7 to Year 12,Partially Selective,Fifth Ave,710.4,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9831 8019,Chifley,1937,Qtr 1,January,1,886,21,No,-33.764557,53,Blacktown (C),Western Sydney,Macquarie Park,150.870497,No,9622 3575,2767.00,Yes,Eastern Creek,1,doonside-p.school@det.nsw.edu.au,Co-Ed,Primary School,Doonside Public School,Comprehensive,Kinder to Year 6,Not Selective,Cnr Kildare Road and School Parade,224,Doonside,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9837 1152,Chifley,1912,Qtr 1,January,1,1074,4,No,-33.737467,72,Blacktown (C),Western Sydney,Macquarie Park,150.885265,Yes,9626 9284,2763.00,No,The Hills,1,quakershil-p.school@det.nsw.edu.au,Co-Ed,Primary School,Quakers Hill Public School,Comprehensive,Kinder to Year 6,Not Selective,Medlow Drive,910,Quakers Hill,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9838 4873,Greenway,1962,Qtr 1,January,6,,7,No,-33.769095,54,Blacktown (C),Western Sydney,Macquarie Park,150.937493,No,9838 4893,2147.00,No,Nirimba,1,Williamros-s.school@det.nsw.edu.au,Co-Ed,Schools for Specific Purposes,William Rose School,Comprehensive,Medium / High Support needs,Not Selective,Cnr Morris St & Lucas Rd,84,Seven Hills,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9838 7651,Greenway,1959,Qtr 1,January,1,927,9,No,-33.760504,36,Blacktown (C),Western Sydney,Macquarie Park,150.93125,No,9624 4808,2147.00,Yes,Nirimba,1,lalorpark-p.school@det.nsw.edu.au,Co-Ed,Primary School,Lalor Park Public School,Comprehensive,Kinder to Year 6,Not Selective,Heffron Rd,139,Lalor Park,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,No,9838 8483,Greenway,1954,Qtr 1,January,1,974,5,No,-33.770031,57,Blacktown (C),Western Sydney,Macquarie Park,150.937488,No,9624 3441,2147.00,No,Nirimba,1,sevenhills-p.school@det.nsw.edu.au,Co-Ed,Primary School,Seven Hills Public School,Comprehensive,Kinder to Year 6,Not Selective,2A Lucas Road,115,Seven Hills,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blacktown,Y,9831 2747,Chifley,1972,Qtr 1,January,1,939,5,No,-33.786512,62,Blacktown (C),Western Sydney,Macquarie Park,150.889725,No,9621 3622,2148.00,No,Eastern Creek,1,evans-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Evans High School,Comprehensive,Year 7 to Year 12,Not Selective,166 Walters Road,688.6,Blacktown,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4739 8237,Macquarie,1977,Qtr 1,January,1,1050,4,No,-33.754247,8,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.60859,No,4739 4655,2774.00,No,Blue Mountains,1,blaxland-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Blaxland High School,Comprehensive,Year 7 to Year 12,Not Selective,Coughlan Rd,998,Blaxland,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4739 8300,Macquarie,1962,Qtr 1,January,5,1085,2,No,-33.746937,10,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.623632,Yes,4739 1579,2774.00,No,Blue Mountains,1,blaxlande-p.school@det.nsw.edu.au,Co-Ed,Primary School,Blaxland East Public School,Comprehensive,Kinder to Year 6,Not Selective,53-85 Old Bathurst Road,380,Blaxland East,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4739 8322,Macquarie,1971,Qtr 1,January,1,1058,7,No,-33.72951,10,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.632585,No,4739 2180,2774.00,No,Blue Mountains,1,mtrivervie-p.school@det.nsw.edu.au,Co-Ed,Primary School,Mount Riverview Public School,Comprehensive,Kinder to Year 6,Not Selective,Rusden Rd,227,Mount Riverview,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4739 8630,Macquarie,1926,Qtr 1,January,9,1043,9,No,-33.737103,10,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.603489,No,4739 2817,2774.00,No,Blue Mountains,1,blaxland-p.school@det.nsw.edu.au,Co-Ed,Primary School,Blaxland Public School,Comprehensive,Kinder to Year 6,Not Selective,Baden Place,141,Blaxland,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4751 1677,Macquarie,1967,Qtr 1,January,1,1040,5,No,-33.685057,9,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.550608,No,4751 2111,2777.00,No,Blue Mountains,1,springwood-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Springwood High School,Comprehensive,Year 7 to Year 12,Not Selective,111 Grose Road,674.4,Springwood,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4751 1951,Macquarie,1878,Qtr 2,May,1,1080,4,No,-33.704613,16,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.573472,No,4751 1333,2777.00,No,Blue Mountains,1,springwood-p.school@det.nsw.edu.au,Co-Ed,Primary School,Springwood Public School,Comprehensive,Kinder to Year 6,Not Selective,Burns Rd,419,Springwood,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4751 3933,Macquarie,1965,Qtr 1,January,1,1046,4,No,-33.691022,5,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.544693,No,4751 2208,2776.00,No,Blue Mountains,1,faulconbri-p.school@det.nsw.edu.au,Co-Ed,Primary School,Faulconbridge Public School,Comprehensive,Kinder to Year 6,Not Selective,Grose Rd,318,Faulconbridge,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4751 4022,Macquarie,1986,Qtr 1,January,1,1055,4,No,-33.69035,5,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.585327,No,4751 5099,2777.00,No,Blue Mountains,1,ellison-p.school@det.nsw.edu.au,Co-Ed,Primary School,Ellison Public School,Comprehensive,Kinder to Year 6,Not Selective,Ellison Rd,327,Springwood,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4753 6898,Macquarie,1942,Qtr 1,January,6,1043,6,No,-33.728056,5,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.600217,No,4753 6182,2774.00,No,Blue Mountains,1,warrimoo-p.school@det.nsw.edu.au,Co-Ed,Primary School,Warrimoo Public School,Comprehensive,Kinder to Year 6,Not Selective,Florabella St,177,Warrimoo,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4754 3280,Macquarie,1985,Qtr 1,January,1,1056,3,No,-33.676047,7,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.615138,No,4754 2822,2777.00,No,Blue Mountains,1,winmalee-h.school@det.nsw.edu.au,Co-Ed,Secondary School,Winmalee High School,Comprehensive,Year 7 to Year 12,Not Selective,High School Drive,877.4,Winmalee,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4754 3410,Macquarie,1972,Qtr 1,January,1,1030,4,No,-33.670272,6,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.610783,No,4754 1574,2777.00,No,Blue Mountains,1,winmalee-p.school@det.nsw.edu.au,Co-Ed,Primary School,Winmalee Public School,Comprehensive,Kinder to Year 6,Not Selective,1-15 Leslie Street,362,Winmalee,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4757 3927,Macquarie,1887,Qtr 1,January,1,1067,2,No,-33.714112,12,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.373525,Yes,4757 1604,2782.00,No,Blue Mountains,1,wentwthfal-p.school@det.nsw.edu.au,Co-Ed,Primary School,Wentworth Falls Public School,Comprehensive,Kinder to Year 6,Not Selective,Falls Rd,373,Wentworth Falls,
Metropolitan West,1,Major Cities of Australia,2017,Qtr 3,July,3,No,Western Sydney & Nepean Blue Mountains,Blue Mountains,No,4758 8888,Macquarie,1946,Qtr 1,January,5,1037,5,No,-33.726554,9,Blue Mountains (C),Nepean Blue Mountains,Macquarie Park,150.459399,No,4758 6120,2779.00,No,Blue Mountains,1,hazelbrook-p.school@det.nsw.edu.au,Co-Ed,Primary School,Hazelbrook Public School,Comprehensive,Kinder to Year 6,Not Selective,Great Western Hwy,415,Hazelbrook,
